17 2
9  20  0.414
 m      c    VH2O   VSol    osm    T       Wt     id
  0.1000000      9.9526741E-02   18.05287       18.43961      0.8610000   298.15   1.D0   1 
  0.2000000      0.1986834       18.05143       18.97664      0.8770000   298.15   1.D0   1 
  0.3000000      0.2974563       18.04902       19.51605      0.8950000   298.15   1.D0   1 
  0.6000000      0.5913424       18.03649       21.06599      0.9760000   298.15   1.D0   1 
  0.8000000      0.7851201       18.02464       22.01239       1.036000   298.15   1.D0   1 
   1.000000      0.9770792       18.00798       23.04160       1.108000   298.15   1.D0   1 
   1.200000       1.167142       17.99088       23.90460       1.184000   298.15   1.D0   1 
   1.400000       1.355239       17.96929       24.82897       1.264000   298.15   1.D0   1 
   1.600000       1.541307       17.94356       25.77626       1.347000   298.15   1.D0   1 
   1.800000       1.725292       17.92247       26.46416       1.434000   298.15   1.D0   1 
   2.000000       1.907144       17.89376       27.30864       1.523000   298.15   1.D0   1 
   2.500000       2.352180       17.81021       29.36555       1.762000   298.15   1.D0   1 
   3.000000       2.783130       17.73016       30.98023       2.010000   298.15   1.D0   1 
   3.500000       3.199681       17.61956       32.86325       2.264000   298.15   1.D0   1 
   4.000000       3.601687       17.52666       34.22849       2.521000   298.15   1.D0   1 
   4.500000       3.989141       17.40695       35.78578       2.783000   298.15   1.D0   1 
   5.000000       4.362150       17.26779       37.38569       3.048000   298.15   1.D0   1  
